GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1990 Int. GK$) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Byzantium/  Ottoman Empire/ Turkey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austria ,Belgium ,Denmark ,Finland ,France,Germany ,(Centre-   North)           Italy ,Holland/     Netherlands ,Norway ,Sweden ,Switzerland ,England/GB/UK,12 W. Europe,Ireland ,Greece ,Portugal ,Spain ,14 small WEC,30 W. Europe ,Australia ,N. Zealand ,Canada,USA,W. Offshoots ,Albania ,Bulgaria ,Czecho-slovakia,Hungary ,Poland ,Romania ,Yugoslavia ,7 E. Europe,Bosnia ,Croatia ,Macedonia ,Slovenia ,Montenegro,Serbia,Kosovo,F. Yugoslavia ,Czech Rep.,Slovakia ,F. Czecho-slovakia,Armenia ,Azerbaijan ,Belarus ,Estonia ,Georgia ,Kazakhstan,Kyrgyzstan ,Latvia ,Lithuania ,Moldova ,Russia,Tajikistan ,Turk-menistan ,Ukraine ,Uzbekistan ,F. USSR ,Argentina ,Brazil ,Chile ,Colombia ,Mexico ,Peru ,Uruguay,Venezuela,8 L. America,Bolivia ,Costa Rica,Cuba,Dominican Rep.,Ecuador ,El Salvador,Guatemala,Haïti,Honduras,Jamaica ,Nicaragua,Panama,Paraguay,Puerto Rico ,T. & Tobago ,15 L. America,21 Caribbean,L. America,China ,India ,Indonesia (Java before 1880),Japan ,Philippines,S. Korea ,Thailand ,Taiwan,Bangladesh,Burma ,Hong Kong,Malaysia ,Nepal ,Pakistan,Singapore ,Sri Lanka,16 E. Asia,Afghanistan,Cambodia ,Laos,Mongolia ,North Korea ,Vietnam,24 Sm. E. Asia,30 E. Asia,Bahrain ,Iran,Iraq ,Israel ,Jordan ,Kuwait ,Lebanon ,Oman,Qatar,Saudi Arabia ,Syria ,,UAE,Yemen ,W. Bank & Gaza ,15 W. Asia,Asia ,Algeria ,Angola,Benin ,Botswana,Burkina Faso,Burundi,Cameroon ,Cape Verde ,Centr. Afr. Rep.,Chad ,Comoro Islands,Congo 'Brazzaville',Côte d'Ivoire,Djibouti,Egypt ,Equatorial Guinea ,Eritrea & Ethiopia ,Gabon,Gambia ,Ghana,Guinea ,Guinea Bissau ,Kenya,Lesotho,Liberia,Libya ,Madagascar,Malawi,Mali,Mauritania ,Mauritius ,Morocco ,Mozambique,Namibia ,Niger,Nigeria,Rwanda,Sao Tomé & Principe,Senegal ,Seychelles,Sierra Leone,Somalia ,Cape Colony/ South Africa ,Sudan ,Swaziland,Tanzania ,Togo,Tunisia ,Uganda ,Congo-Kinshasa,Zambia ,Zimbabwe,3 Small Afr. ,Total Africa ,,Total World,,,,,
1990,16894.58044,17196.97752,18452.42611,16866.37534,17647.00523,15928.8451,16313.12751,17262.06918,18466.01022,17608.90241,21487.19471,16429.91158,16792.58332,11817.74129,10015.40041,10826.39889,12054.80858,14445.37491,15904.52569,17172.68224,13687.46339,18872.38851,23200.56031,22345.79893,2499.400144,5596.900393,8512.644063,6458.809782,5113.40548,3510.766008,5646.310583,5427.189132,3696.64944,8122.860779,5754.646439,11350.55387,4143.776611,6118.577625,1425.797519,5646.310583,8895.282123,7763.053384,8512.644063,6065.837869,4638.575302,7194.294677,10819.97298,7615.812879,7457.862573,3602.290022,9916.31595,8663.433329,6170.232135,7778.716387,3012.898331,3635.866594,6026.700099,4260.496834,6894.107594,6432.921661,4920.05689,6400.944474,4825.742634,6084.910965,3008.287037,6464.630225,8312.867848,5460.923772,2197.477905,4746.99225,2957.005612,2471.128053,3902.582273,2118.67564,3240.017845,1005.406265,1856.739738,3786.330028,1437.449118,4466.360217,3280.63148,10539.42566,8852.589641,3244.142208,6322.302556,5064.854663,1870.930289,1308.820024,2514.45698,18789.07116,2197.419114,8704.425109,4633.101387,9938.379933,631.0311733,785.7197462,17540.55936,5130.605593,825.0760535,1588.162087,14220.07811,2423.772306,2704.334052,604.0490304,881.2604539,929.1163989,1332.10735,2841.06548,1024.91428,2543.45728,1349.705702,4104.060102,3526.089256,2458.436037,13066.87868,3792.400484,6120.886457,1936.390877,6478.959035,7343.151099,8993.223235,5700.684703,5399.422355,13960.84873,2272.214741,3352.831941,4858.996367,2782.857883,2946.865622,868.0653906,1136.343833,3303.780132,807.0766316,704.617689,1211.073247,1233.4453,642.4173042,434.3128741,685.0974982,2380.404951,1307.353845,1447.739341,2522.79246,1552.14228,574.2274281,4797.011781,877.5302737,1062.165073,540.0058708,797.1975594,1117.258873,1181.111511,1060.343211,3087.087015,791.7220772,539.6251147,747.0966513,948.0627831,7208.001522,2590.761764,1113.56113,3140.961084,546.9456357,1112.368711,877.2859565,1390.739019,1253.901255,5169.491525,1025.68956,1080.537797,3833.765591,759.8197285,2434.954828,549.3712293,800.3280061,3335.399665,584.6780662,510.1996391,806.2474147,1355.449565,1243.213471,1424.797085,,5149.451983,,,,,
1991,17262.63107,17450.63067,18643.7902,15767.88816,17724.13539,16649.5235,16562.94803,17547.90432,18951.36247,17276.29206,21039.62782,16155.29228,16989.20855,11968.78018,10203.71032,11303.51013,12327.06172,14784.23843,16116.83129,16743.32399,13374.22335,18262.46377,22832.79005,21952.98226,1835.706149,5197.861011,7438.598247,5676.131801,4738.038523,3065.413948,4891.345225,4833.388735,,6792.170294,5362.089171,10321.61051,,,,4891.345225,7865.418878,6605.811486,7438.598247,5262.820438,4543.168237,7091.330246,9798.980475,6012.55129,6587.551127,3272.274333,8707.016531,8155.572183,5082.871083,7373.529931,2696.355714,3384.702892,5491.081735,4140.687778,6425.072564,6954.710722,4887.812358,6784.487812,4840.186836,6226.387975,3028.228592,6664.045843,8907.165898,5579.51261,2259.057444,4745.083161,2589.85958,2445.716872,4061.177842,2142.084124,3268.251334,988.2885696,1853.129828,3800.651225,1363.542474,4772.634166,3267.91848,10706.01413,9126.190476,3230.572611,6441.405612,5158.706236,1967.182259,1304.646841,2694.309249,19347.10308,2135.957591,9446.109833,4956.584618,10610.09276,642.3707571,767.0299519,18333.95167,5469.247876,853.6981977,1629.468383,14638.26804,2519.45006,2795.556499,600.5932102,914.9821905,930.8123121,1180.858552,2841.007597,1062.645492,2592.811859,1371.918947,4041.380644,3812.914513,946.6573109,13557.11348,3462.993931,8179.057448,2637.627417,6606.087395,6913.353257,9664.533475,6100.798479,5346.457941,13446.60219,2327.789344,3513.646532,4903.8846,2868.344739,2839.856543,853.7766358,1153.086788,3360.094359,851.6347016,722.5801164,1132.53477,1186.112622,620.5152514,464.6226474,629.9024992,2363.075912,1252.847497,1419.540705,2531.772188,1581.112652,512.3793301,4971.236692,862.9656811,1091.542336,516.3387142,817.9581579,1096.005627,1201.039554,1255.118694,2825.023505,719.7755221,563.9981977,797.2222558,948.8302093,7596.858517,2720.305188,1166.903473,3229.042369,544.4451188,1077.290392,823.0751279,1355.068855,1250.817595,5246.158355,918.9608429,1006.267943,3715.233672,804.3078732,2385.016155,545.3887252,768.2729144,3401.755625,575.0338931,451.3942648,778.9116932,1412.689151,1211.476702,1401.237725,,5141.455384,,,,,
1992,17409.04261,17645.19761,18949.44493,15136.11477,17879.52249,16890.56051,16634.00746,17719.66846,19506.31771,16969.00286,20803.53954,16133.4947,17095.78808,12275.09444,10200.9495,11416.68043,12412.97867,14957.91072,16222.07528,16988.87401,13373.42153,18146.72469,23284.98188,22335.17817,1764.003834,4884.37156,7254.190679,5510.026437,4842.32787,2802.636572,4008.414767,4589.096467,,6051.388272,4980.257511,9782.469922,,,,4008.414767,7817.581938,6158.226929,7254.190679,3116.59015,3463.05973,6393.391558,8587.079387,3353.437442,6215.455984,2790.712543,5992.121168,6425.070535,3607.384692,6298.196059,1800.208376,2813.152295,4931.686243,3589.007885,5473.778694,7383.739587,4782.211206,7482.810871,4950.210928,6333.470963,2952.726822,7163.186706,9234.497971,5653.143941,2242.299574,5056.193163,2215.581743,2652.129976,4074.285969,2259.48684,3370.110648,836.4249578,1904.144034,3830.878273,1324.129353,5064.282845,3230.358335,11122.74544,8996.835443,3236.815756,6552.831884,5220.152152,2132.175936,1350.321854,2841.61508,19440.2993,2098.905877,9877.381087,5344.011121,11304.27318,664.0236171,828.8315784,19193.05625,5801.760383,862.8102286,1707.565151,15167.15244,2599.279201,2908.496307,552.8277775,937.1253549,953.0367297,1046.612659,2577.858785,1132.9522,2654.396756,1357.621007,4186.895529,3859.304296,1196.324266,14084.59998,3718.866817,8266.742797,2733.410546,6895.604166,7236.649061,9664.351802,6712.472647,5562.115653,13056.49009,2427.348145,3689.090125,5089.136323,2981.231011,2812.582498,781.7052682,1162.090854,3353.775395,825.6513452,706.0241054,1067.91467,1143.740169,564.3807837,457.9185371,663.911864,2351.092312,1214.090302,1383.772998,2505.135795,1703.977308,450.7157509,4680.754222,866.781951,1112.275037,514.9182526,802.7317087,1044.90815,1228.319951,1213.059439,2636.727543,706.588663,503.43866,751.5175026,932.1846167,7865.468432,2565.825303,1089.443462,3443.538163,494.183096,1054.503356,859.4159911,1327.282409,1232.858634,5542.238838,844.8806016,905.1352528,3564.052543,743.9243325,2324.067122,533.171275,713.519035,3601.249262,570.7044006,391.3063272,773.4010073,1259.718757,1174.583748,1352.705609,,5163.043172,,,,,
1993,17339.45372,17406.49234,18870.4338,14942.82753,17666.01847,16644.68024,16440.83835,17823.66395,19930.8412,16524.27793,20590.81299,16458.29616,16999.28489,12533.08368,9982.078397,11138.3601,12258.51197,15435.62991,16119.36137,17478.18521,14031.54395,18309.10769,23640.11258,22683.67597,1936.949431,4935.733433,7282.490554,5506.400272,5010.675696,2851.971118,3388.605775,4548.979261,,5363.519252,4584.12504,10212.92434,2873.167712,4135.014379,,3388.605775,7814.293033,6250.925129,7282.490554,2971.060506,2621.812941,5896.978843,8053.626385,2419.982773,5664.415614,2364.099462,5412.8253,5398.888588,3565.294946,5748.531187,1494.535076,2791.411294,4228.929837,3424.459404,4929.030296,7748.367729,4937.484734,7869.486706,5131.017034,6339.152999,3029.957422,7324.363375,9060.606192,5780.001969,2284.705585,5284.003889,1848.05424,2793.845965,4010.445726,2361.671529,3445.191613,800.9606725,1980.068143,3859.18564,1280.057943,5229.708432,3265.68585,11541.70505,8882.213439,3239.328209,6659.576701,5323.764681,2311.822409,1401.473914,2997.718364,19417.43561,2098.963841,10391.16967,5733.815761,11950.43951,683.3248935,865.5085724,19985.33156,6218.80645,869.6129898,1707.834051,16383.75716,2739.880565,3023.088825,475.7891576,931.3223648,1020.252693,997.5895118,2541.303417,1202.049019,2718.883162,1370.963886,4600.555799,3750.958159,1161.028874,14150.03492,3772.271309,10424.52244,2895.568861,7046.811418,6971.441321,9351.433629,7012.989197,5901.960902,12288.37103,2430.365353,3868.661679,5187.306974,3090.236125,2686.412085,576.2021921,1147.734595,3310.977904,826.2359678,685.1646921,1006.516017,1183.688146,549.1627257,441.5111165,663.996608,2254.133069,1328.360233,1299.027348,2543.67469,1761.594268,498.1048764,4666.34368,884.6935743,1135.881573,525.5743283,794.307349,1011.405194,1246.185671,1193.076338,2453.035618,699.9060189,542.4712358,762.4234604,947.9885453,8286.792972,2496.463736,1144.481712,3284.466853,486.3244932,1049.408481,757.95867,1306.562966,1217.243945,5836.711568,855.0847335,907.3898511,3533.150581,763.5621159,2329.321272,522.2035655,599.9502778,3615.713674,595.2915093,327.310236,752.4368273,1256.334289,1152.83084,1340.422391,,5201.391461,,,,,
1994,17669.83659,17901.6676,19847.26641,15424.26918,17978.19967,17027.78617,16761.73957,18222.90474,20818.4862,17066.26515,20685.44933,17117.94169,17484.46241,13191.09786,10136.00413,11178.69519,12528.4742,15808.84348,16563.41194,18145.56849,14551.04778,18941.7684,24312.78896,23350.77062,2067.467282,5078.239363,7516.672908,5687.114616,5264.856557,2971.034645,3538.8531,4739.771589,915.9669593,5667.411491,4481.87424,10637.65843,2919.138395,4242.524753,,3538.8531,7984.838584,6611.902882,7516.672908,3237.162078,2076.766746,5214.158953,8050.376821,2222.306627,5021.8047,1892.329948,5624.327826,4884.015828,2467.884352,5013.974312,1164.130739,2258.947395,3274.761553,3178.024709,4246.550569,8119.048972,5144.890969,8181.678288,5292.598378,6503.91349,3351.227492,7824.629308,8665.717285,5967.376874,2338.151663,5377.589763,1876.999908,2809.515627,4108.741391,2458.794792,3490.230684,719.4530216,1885.954172,3846.343205,1293.15197,5287.867079,3270.298696,11913.4493,9255.335968,3283.440031,6767.910761,5483.368644,2514.660167,1464.236076,3170.31398,19536.81945,2143.929449,11198.5704,6115.469014,12731.32524,699.9827616,913.4399328,20720.83747,6621.622471,914.2581201,1739.041292,17572.98616,2852.142177,3163.860172,426.0660999,984.5789304,1053.518708,1003.062506,1850.441147,1285.256937,2779.403745,1301.593434,4468.050635,3716.563533,1070.393699,14680.87832,3865.703219,10695.40531,3090.908214,7098.137923,6885.081635,9120.860303,7203.043287,5482.193415,12425.28394,2502.01775,4082.13141,5090.642918,3206.959833,2604.329985,565.9229622,1146.317709,3320.806201,807.9796043,654.0345295,955.9738755,1241.989436,568.8319877,457.3101513,610.3496075,2062.411586,1282.578763,1256.992955,2614.984868,1800.006273,501.1103515,4710.749598,883.7729286,1148.784422,529.8890316,796.1880232,1011.844482,1215.409928,1228.739539,2363.350016,678.7326112,494.7579562,770.9934484,962.4871718,8553.069072,2708.932744,1128.803582,3415.069153,490.4591313,1032.486494,455.5971563,1299.930871,1186.460292,5638.514562,865.0843829,910.0574034,3584.298092,763.7783717,2394.622574,510.6985863,700.1975805,3669.121684,610.7830138,303.9097627,635.6229299,1315.917225,1141.900529,1343.193411,,5304.984827,,,,,
1995,18096.42706,18269.83317,20350.02991,15976.98765,18261.96131,17298.81911,17216.59527,18696.69735,21578.25469,17645.71762,20659.51843,17585.5274,17804.18961,14388.55084,10321.40033,11613.61835,13132.08999,16151.94268,16920.76896,18529.55821,14909.24714,19237.79771,24637.32986,23676.10594,2307.584114,5285.328756,7955.790154,5780.662224,5623.226713,3192.36484,3766.603245,5023.20451,1144.779939,6027.076893,4410.370184,11018.77505,3330.736909,4484.348663,,3766.603245,8464.139762,6976.954597,7955.790154,3524.887984,1808.796329,4684.558997,8700.734872,2328.894164,4686.862502,1772.36343,5656.492538,5129.824313,2443.422728,4803.999269,1080.443899,2064.513598,2898.788149,3086.139343,4024.14528,7785.950334,5280.435551,8910.443755,5469.755103,6001.468879,3572.673534,7679.497394,8831.346698,5938.120995,2394.4178,5436.686401,1931.52324,2912.35182,4058.870314,2563.296822,3572.111779,739.812815,1899.323589,3889.8349,1314.025086,5286.201668,3324.534479,12340.95272,9642.405063,3342.370127,6876.637545,5469.781901,2863.484818,1542.544978,3373.594144,19871.71446,2193.168408,12094.23728,6531.258385,13417.97245,722.7930549,959.6663546,20659.22077,7092.253695,918.7413312,1780.24383,18310.08108,2970.887102,3379.030835,512.4157866,1024.543529,1079.214777,1046.161039,1521.223737,1384.524017,2842.595136,1319.794512,4528.042493,3770.184939,944.6291378,15133.22685,4015.071919,10262.74793,3248.61542,7226.832177,6921.588808,8869.929896,7390.21012,5774.625667,12495.00403,2560.825378,4292.701567,5205.283675,3407.7039,2650.755982,630.6280181,1165.355238,3366.966908,825.5186927,566.8745134,962.9534608,1319.26819,585.4148475,440.6408215,643.8528152,2080.716408,1311.549394,1194.530078,2695.713135,1998.916081,515.6114088,4815.422823,821.891359,1174.624528,537.0888816,811.7260295,1028.967266,1341.445212,1261.611177,2321.318227,669.524754,566.275941,776.1178673,983.5376031,8758.675648,2489.623055,1085.213895,3467.187795,443.5422123,1003.843806,706.5129211,1284.296556,1218.476848,5605.156744,766.0556948,916.6153443,3646.403612,771.3641232,2467.037336,512.4695416,707.8416855,3698.642931,660.7195438,293.5754035,602.1362328,1309.672754,1140.631663,1346.237027,,5443.461401,,,,,
1996,18511.93112,18487.35673,20809.66082,16496.66915,18373.41769,17420.22081,17378.12044,19247.86821,22563.88544,17901.2891,20688.71205,18044.00318,18049.02224,15386.93629,10542.77241,12000.97625,13423.04352,16563.01032,17182.15636,19075.08248,15144.36517,19330.59662,25263.10165,24242.75252,2481.856309,4844.28191,8374.453061,5802.102483,5969.539351,3330.904185,4119.534018,5257.000213,2140.116401,6638.436573,4439.686847,11424.20305,4253.351033,4690.628702,,4119.534018,8858.690318,7445.141527,8374.453061,3738.15695,1811.96964,4830.841501,9333.681181,2632.829203,4754.774363,1871.419339,5964.723527,5403.427182,2310.952067,4635.70545,824.9462179,2168.292235,2629.956354,3077.692318,3909.138392,8090.801274,5313.327994,9426.999805,5497.027516,6209.246686,3598.829886,8071.734918,8648.616441,6043.572694,2445.935974,5343.311953,2090.542522,3064.741944,4076.934155,2560.704846,3591.733327,754.7622407,1912.188277,3845.796932,1340.368807,5308.550186,3275.875796,12605.99975,10024.56418,3392.919969,6994.637056,5563.946495,2891.98883,1635.406947,3576.152778,20343.36045,2267.179806,12859.85233,6819.510854,14050.41864,744.0184299,1004.760303,20967.10975,7607.99142,940.7814726,1846.455137,19159.70963,3046.892127,3472.845762,526.0686692,1055.808785,1077.238937,1050.162074,1253.866814,1490.344248,2904.626031,1340.723647,4599.756073,3982.17805,1031.587948,15496.14654,3997.626153,9872.016461,3331.040547,7228.943324,7233.063083,8914.209863,7406.845999,6073.488602,12445.33732,2598.363405,4561.901253,5386.76856,3504.508085,2702.260676,734.2308546,1192.821199,3457.793745,887.9863173,517.3043784,986.333198,1387.57753,530.2078973,436.1083534,616.8080185,2105.632374,1377.820822,1121.783636,2788.776205,2509.009625,566.1960854,4858.304759,841.0562929,1207.333623,545.7329539,831.7213373,1044.343191,1441.789922,1254.414641,2381.394904,663.5439847,607.2369309,818.1880389,1021.279069,9115.298975,2750.0284,1207.953557,3482.532245,451.0650477,1028.1889,667.7967606,1267.552773,1211.630765,6101.909819,568.7115085,919.9510272,3753.134555,804.0276977,2499.391162,524.7479554,740.752855,3907.836147,700.9720167,284.3393781,627.6836502,1416.948913,1175.218687,1392.978705,,5546.821232,,,,,
1997,18918.16235,19138.65972,21387.53818,17472.30354,18690.44426,17708.52522,17675.65493,19972.66125,23649.02047,18374.99354,21071.98968,19115.07246,18556.55625,16857.89804,10902.40012,12460.15033,13912.05806,17194.96152,17692.5004,19612.09177,15407.10715,19961.8229,26074.23942,25016.62659,2197.91225,4628.009214,8438.77728,6000.946278,6388.403455,3141.089932,4529.458773,5435.050066,2825.125259,6965.92515,4481.159199,12008.39119,4534.072201,5037.735226,,4529.458773,8792.640507,7761.637077,8438.77728,3867.855508,1897.162936,5404.983074,10535.94651,2940.227051,4891.08396,2028.830521,6572.999667,5813.280318,2365.190886,4706.804064,824.5849476,1894.528199,2573.792621,3179.828449,3992.715751,8614.729624,5411.327741,9906.158183,5606.695216,6526.269368,3782.662138,8434.4317,9034.626461,6268.860561,2513.487067,5502.38843,2151.661797,3252.017917,4115.106504,2620.051858,3666.987086,760.2768166,1952.809129,3762.917825,1374.674761,5432.944606,3271.212708,12913.92578,10351.5873,3464.473783,7112.954929,5759.148091,3013.350405,1674.989195,3684.219808,20617.43762,2330.875135,13500.53386,6558.745337,14695.92653,771.1912533,1046.11896,21682.4068,7955.151463,953.077764,1830.971207,20231.11551,3204.964633,3557.033563,540.9086032,1092.903526,1105.398881,1073.556753,1175.988229,1588.385854,2965.941553,1388.806658,4632.896108,4059.234779,962.492816,15606.65113,4032.921538,9773.74786,3415.552255,7471.118834,8904.429897,8903.021841,7133.511797,6420.722338,12787.88784,2649.574379,4823.383085,5509.863743,3590.333169,2687.202977,752.5064903,1221.766537,3589.454897,915.2094793,517.6041177,1011.58142,1475.659347,558.5849398,441.2182084,624.8556205,2039.630055,1419.072652,1103.113604,2890.288265,4177.142781,569.8521964,5002.040925,851.2931645,1248.447397,566.4185788,857.540283,1021.787893,1485.042806,1160.694127,2466.767654,667.5625669,628.6049667,839.2733427,1033.59374,9552.836679,2648.386405,1307.675134,3542.750243,439.1940745,1031.442682,652.7301481,1243.12333,1219.000024,6779.661017,454.3234779,895.2637673,3802.738087,1278.518988,2535.832624,530.6892562,677.6381718,4066.464005,717.4581252,265.5948343,630.4407706,1417.151217,1177.582253,1425.865296,,5687.887565,,,,,
1998,19613.07624,19474.91101,21770.86504,18306.52538,19233.28587,18028.88074,17908.53959,20630.88738,24135.28037,19136.77005,21603.49053,19724.08541,19011.33224,17944.85262,11250.16278,13012.74447,14483.27403,17077.06445,18162.53357,20377.94976,15477.08033,20612.38735,26893.45086,25810.96206,2405.34461,4870.395157,8542.702435,6263.239677,6704.256873,2998.606483,4753.479086,5609.216399,3163.339444,7252.656416,4610.581541,12494.61877,4667.784786,5072.999372,,4753.479086,8780.211739,8089.253911,8542.702435,4165.177181,2065.009155,5882.776852,11352.89121,3053.177271,4862.241837,2043.396723,6995.876793,6262.227649,2230.223767,4461.810214,851.1727179,1999.662109,2545.503697,3263.409246,3904.794074,8899.888248,5333.894962,10088.42831,5562.83568,6753.857331,3699.835546,8775.832635,8906.042979,6307.591287,2584.89356,5822.47017,2170.288208,3419.493271,4096.734362,2667.797185,3773.891834,762.3574144,1957.757858,3674.309563,1398.305085,5543.081873,3171.600981,13250.90232,10865.65978,3524.433639,7229.454885,5801.07231,2993.193686,1755.052071,3151.027157,20154.494,2267.248045,12634.33699,5994.07308,15068.92022,797.7966734,1090.08369,20229.9849,7178.528056,946.6130893,1849.954992,19286.96284,3320.668577,3479.333725,556.1953237,1125.711696,1110.365682,1092.767899,1185.105343,1656.976082,2950.528803,1429.025949,4744.566008,4113.68326,1074.614505,15833.43691,4061.785699,9815.456958,3468.6321,7478.993431,9194.700674,8925.396562,7334.625794,6509.6118,12212.35812,2720.73595,5081.331503,5592.203232,3528.842631,2781.524577,731.0056501,1237.440583,3704.472611,952.2694894,529.4331404,1037.412266,1565.048771,567.5290888,461.4057674,611.6432632,2058.336907,1449.073751,1091.894401,3041.571609,4951.945869,531.6065139,5042.469955,851.1735878,1288.211918,584.9538241,601.9014098,1031.416573,1419.213267,1050.547201,2321.813435,673.1114738,617.2511697,854.5210399,1045.447481,10018.44642,2810.755068,1427.706725,3581.447768,479.2910058,1034.124671,677.1777524,1231.805894,1258.436455,7100.837069,441.4891219,867.7419929,3769.523033,1538.254595,2564.364718,534.7550371,643.5787919,4217.409147,722.2842144,255.3766265,601.7004234,1401.599218,1187.892633,1459.165318,,5717.50644,,,,,
1999,20268.21931,20127.57653,22255.43737,18981.00269,19771.39217,18380.04362,18140.51642,21456.94928,24455.05648,20012.53004,21828.10474,20269.48154,19472.1305,19479.44824,11616.43106,13465.66499,15093.24859,17459.40086,18644.72372,20970.89429,16202.02373,21563.04068,27869.81203,26762.49123,2751.885327,5137.232793,8643.275977,6481.813597,7008.154548,2971.429004,4642.070254,5740.130992,3354.970315,7111.078384,4790.056722,13152.45609,4178.697042,4504.823443,,4642.070254,8936.783834,8084.058906,8643.275977,4302.921624,2196.417665,6102.636076,11413.37353,3162.405231,5035.261221,2089.283021,7267.347911,6199.630991,2176.248415,4759.830531,864.3592647,2296.060497,2564.62705,3354.238652,4094.602993,8545.157891,5269.867102,9883.608018,5269.378486,6915.792332,3679.949573,8494.072026,8237.707881,6210.311699,2542.020744,6157.894599,2306.523116,3586.452455,3809.399176,2706.371652,3848.859636,768.7691692,1871.419093,3669.875322,1634.348457,5617.977528,3103.17606,13738.39137,11631.87251,3565.829812,7356.497275,5729.606663,3162.233832,1835.297417,3126.605953,20070.39909,2286.890956,13889.5843,6212.397645,15842.91013,822.3440386,1192.052231,20583.76558,7424.513621,954.8875285,1882.472218,19983.13275,3421.497339,3590.127874,571.2563173,1245.078512,1166.926429,1075.465994,1199.407376,1713.097337,3115.288507,1482.046002,4835.883105,4140.655039,1132.496354,15948.65351,4107.880075,9356.8421,3392.661486,7253.148652,9210.774851,8647.838729,6924.693164,6188.301386,12017.14288,2734.380681,5338.070059,5463.570162,3622.282574,2829.099193,733.6681836,1254.455056,3844.929495,979.928394,508.994744,1057.73026,1680.981008,575.9154986,458.0513321,605.7787732,1934.517752,1438.538775,1106.664134,3158.486702,6805.741114,547.7391665,4052.199353,875.7301844,1323.237541,593.2991048,635.7919689,1031.984834,1434.104039,1009.383845,2291.418256,684.0977718,621.2044696,877.5704072,1059.949305,10437.04486,2786.834577,1513.246455,3629.719841,468.3320955,1013.955957,713.8425747,1226.04375,1307.116101,6808.554206,403.530756,857.7581512,3809.509532,1835.118536,2609.579973,537.7439282,643.7534097,4422.188365,755.5390455,237.0677961,598.3340823,1337.046198,1192.086481,1484.814011,,5850.274075,,,,,
2000,20961.72263,20809.35869,22966.11846,19950.89192,20391.87707,18943.51638,18761.3716,22148.20084,25087.59906,20871.2466,22521.38119,21045.72002,20130.82528,21026.81963,12110.84552,13922.21738,15723.5687,17848.80758,19298.28252,21377.82313,16518.11579,22487.70819,28701.93432,27573.94581,2962.279357,5483.308819,8929.926071,6771.783594,7308.839204,3046.956099,4849.658514,5979.660274,3452.215831,7391.374285,4988.122957,13667.28529,4298.823856,4743.579085,,4849.658514,9320.19361,8187.729616,8929.926071,4564.18608,2418.700652,6475.26647,12610.10697,3246.35509,5536.551504,2178.562252,7741.538941,6972.580923,2245.855887,5260.95947,918.2572681,2387.930936,2742.289352,3434.388309,4457.755985,8409.969914,5417.94332,10198.92856,5375.205431,7274.99279,3736.817805,8340.856995,8409.045344,6376.934264,2551.861478,6135.721617,2421.754007,3725.016149,3911.081132,2714.005877,3922.432566,761.4871056,1911.571165,3657.446191,1519.756839,5655.172414,3010.550787,14112.74253,12219.64856,3619.111188,7356.329241,5873.445201,3420.865722,1882.376838,3229.194723,20480.95126,2335.620068,14997.53538,6440.149121,16627.60736,856.2998783,1337.126672,22032.12329,7873.520022,994.4733216,1904.1066,21263.31113,3578.78931,3757.437771,565.2309015,1328.573666,1203.223219,1059.030535,1190.30543,1805.427252,3049.622117,1531.950371,4972.351226,4301.116077,1221.391015,16985.01939,4188.624187,9516.773445,3402.660018,7414.711071,9724.119085,8861.15832,6906.274925,6501.997941,12814.30435,2811.987067,5129.564941,5676.85383,3788.437205,2849.066039,736.4002932,1284.611852,4084.111259,977.1336109,495.9769889,1076.170042,1775.606209,574.835309,448.9671301,580.6859699,2004.22624,1337.191686,1102.54351,3257.769534,7676.766033,563.7378347,3844.135005,894.812718,1351.807141,591.4677514,680.2939183,1013.353409,1468.932605,989.656292,2312.992992,694.1801454,608.7993927,824.3050332,1084.823783,10593.35611,2793.850032,1503.019121,3660.529343,441.2268786,1041.389939,742.4311225,1225.398254,1318.095369,6367.01281,409.293687,847.5813197,3920.424462,2047.893958,2630.322145,547.1724563,614.2215421,4563.55452,771.3977917,214.1647649,601.6444256,1231.003644,1197.20384,1508.661494,,6057.074839,,,,,
